cell_id,option,cost_inr,person_degC,tier1_person_degC,row0,col0,lon,lat
10745,greening,880875.0,3595.3963050842285,0.0,970,750,80.25802,13.08622
13367,greening,536625.0,3594.676290035248,0.0,1210,570,80.20842,13.02097
14372,greening,840375.0000000001,3591.026804447174,0.0,1300,720,80.24999,12.99668
12264,greening,901125.0,3577.356719970703,0.0,1110,540,80.20004,13.04807
15021,greening,961875.0,3571.865541934967,0.0,1360,610,80.21961,12.98032
10639,greening,921374.9999999999,3569.0794315338135,1074.4909782409668,960,790,80.26908,13.08896
11503,greening,992250.0,3567.401177406311,0.0,1040,630,80.22488,13.06713
10535,greening,961875.0,3566.152470588684,0.0,950,850,80.28568,13.09172
13059,greening,1002375.0,3561.3296852111816,0.0,1180,790,80.26926,13.02929
13600,greening,810000.0,3549.4851455688477,0.0,1230,700,80.2444,13.01565
11181,greening,880875.0,3548.273711204529,0.0,1010,710,80.24699,13.07534
3320,greening,668250.0,3536.8138461112976,1112.119384765625,300,200,80.10517,13.26747
13366,greening,810000.0,3536.659839630127,0.0,1210,560,80.20566,13.02096
10187,greening,992250.0,3532.4423513412476,0.0,920,670,80.23584,13.09972
14486,greening,901125.0,3530.4592623710632,0.0,1310,760,80.26106,12.994
11939,greening,1012500.0,3527.898775100708,0.0,1080,590,80.21384,13.05625
7892,greening,1012500.0,3521.702081680298,3083.1051750183105,710,820,80.27719,13.1568
5184,greening,637875.0,3520.036721229553,513.8366546630859,470,140,80.08873,13.2213
10533,greening,1012500.0,3517.9328260421753,329.27021408081055,950,830,80.28015,13.09171
12388,greening,860625.0,3516.002695083618,0.0,1120,680,80.23878,13.04547
12395,greening,880875.0,3512.305121421814,0.0,1120,750,80.25815,13.04553
11068,greening,739125.0000000001,3501.485912322998,0.0,1000,680,80.23868,13.07803
13711,greening,860625.0,3494.9845867156982,0.0,1240,710,80.24718,13.01295
11952,greening,678374.9999999999,3493.163604736328,0.0,1080,720,80.24981,13.05636
12730,greening,961875.0,3491.5614805221558,0.0,1150,800,80.272,13.03743
15146,greening,931500.0,3484.9625539779663,0.0,1370,760,80.26111,12.97772
10840,greening,921374.9999999999,3479.3066482543945,0.0,980,600,80.21652,13.08338
11073,greening,870750.0,3471.6437664031982,0.0,1000,730,80.25251,13.07807
